"Company Review Details","Company Review Details"
"Status","Status"
"Visible In","Visible In"
"Nickname","Nickname"
"Summary of Review","Summary of Review"
"Review","Review"
"Guest","Guest"
"Administrator","Administrator"
"Posted By","Posted By"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"Admin Response","Admin Response"
"No","No"
"Yes","Yes"
"Empty","Empty"
"Save Review","Save Review"
"Add New Company Review","Add New Company Review"
"Delete Review","Delete Review"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Created On","Created On"
"Title","Title"
"Type","Type"
"Action","Action"
"Edit","Edit"
"Are you sure?","Are you sure?"
"Update Status","Update Status"
"Manage Company Ratings","Manage Company Ratings"
"Add New Rating","Add New Rating"
"All Company Reviews of Customer `%s`","All Company Reviews of Customer `%s`"
"All Company Reviews","All Company Reviews"
"None","None"
"Poor","Poor"
"Bad","Bad"
"OK","OK"
"Good","Good"
"Excellent","Excellent"
"Posted","Posted"
" year(s) ago"," year(s) ago"
" month(s) ago"," month(s) ago"
" day(s) ago"," day(s) ago"
" week(s) ago"," week(s) ago"
"Date - Newest First","Date - Newest First"
"Date - Latest First","Date - Latest First"
"Highest Rated","Highest Rated"
"Lowest Rated","Lowest Rated"
"Manage Company Ratings","Manage Company Ratings"
"The rating has been saved.","The rating has been saved."
"The rating has been deleted.","The rating has been deleted."
"Company Reviews","Company Reviews"
"All Company Reviews","All Company Reviews"
"New Company Review","New Company Review"
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"The review has been saved.","The review has been saved."
"An error occurred while saving this review.","An error occurred while saving this review."
"The review has been deleted","The review has been deleted"
"An error occurred while deleting this review.","An error occurred while deleting this review."
"Please select review(s).","Please select review(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Please select review(s).","Please select review(s)."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"The review has been saved.","The review has been saved."
"An error occurred while saving review.","An error occurred while saving review."
"Email was send.","Email was send."
"Customer's email not found","Customer's email not found"
"Email was not sent. Review has insufficient information","Email was not sent. Review has insufficient information"
"Your review has been accepted for moderation. Once approved, a discount coupon will be emailed to you for your next order.","Your review has been accepted for moderation. Once approved, a discount coupon will be emailed to you for your next order."
"Unable to post the review.","Unable to post the review."
"Only registered customers can write Review","Only registered customers can write Review"
"Setting","Setting"
"Enabled","Enabled"
"Generate Coupons","Generate Coupons"
"Shopping Cart Price Rule 'DISCOUNT FOR COMPANY REVIEWER' is used.","Shopping Cart Price Rule 'DISCOUNT FOR COMPANY REVIEWER' is used."
"Shopping Cart Price Rule ID","Shopping Cart Price Rule ID"
"Email Customer Notification","Email Customer Notification"
"Enable","Enable"
"Company Review Email Sender","Company Review Email Sender"
"Company Review Email Template","Company Review Email Template"
"Company Review Email Blind Copy To","Company Review Email Blind Copy To"
"Comma-separated. If empty then email will be sent to 'Customer Support'","Comma-separated. If empty then email will be sent to 'Customer Support'"
"Admin's reply to review","Admin's reply to review"
"Email Sender","Email Sender"
"Reply Email Template","Reply Email Template"
"Reply Email Blind Copy To","Reply Email Blind Copy To"
"Comma-separated. If empty then email will be send to 'Customer Support'","Comma-separated. If empty then email will be send to 'Customer Support'"
"review","review"
"reviews","reviews"
"Click here ","Click here "
"to see all reviews","to see all reviews"
"Would you like that your name to be displayed with the review?","Would you like that your name to be displayed with the review?"
"Tell us more","Tell us more"
"Submit Review","Submit Review"
"Dear %s, Your feedback matters to us.","Dear %s, Your feedback matters to us."
"Please rate us on the following parameters","Please rate us on the following parameters"
"Select your order","Select your order"
"A discount coupon will be emailed to you for your next order.","A discount coupon will be emailed to you for your next order."
"You will be able to submit a review once you have a completed order in your account.","You will be able to submit a review once you have a completed order in your account."
"Sort By: %s","Sort By: %s"
"Order ID: ","Order ID: "
"(Posted on %s)","(Posted on %s)"
"Administration Response","Administration Response"
"Avg.","Avg."
"%s MageWorkshop CompanyReview: %s There are %d pending company reviews . %s Click here to see Company Reviews list %s","%s MageWorkshop CompanyReview: %s There are %d pending company reviews . %s Click here to see Company Reviews list %s"
"Show New Company Review Notification","Show New Company Review Notification"
"Notification toolbar will be displayed in Admin Panel, if there are pending Company reviews.","Notification toolbar will be displayed in Admin Panel, if there are pending Company reviews."
"Email with administration response was sent to customer.","Email with administration response was sent to customer."
"Email with administration response was not sent. Customer's email not found","Email with administration response was not sent. Customer's email not found"
"It looks like Detailed Review extension is not enabled. Please enable it for correct work of Company Review module","It looks like Detailed Review extension is not enabled. Please enable it for correct work of Company Review module"
"It looks like Company Review functionality is disabled now.","It looks like Company Review functionality is disabled now."
"Company Review","Company Review"
"Company Reviews Page URL Key","Company Reviews Page URL Key"
"Custom CMS page, where Company reviews should be displayed.","Custom CMS page, where Company reviews should be displayed."
"New Company Review Email Sender","New Company Review Email Sender"
"New Company Review Email Copy To","New Company Review Email Copy To"
"",""
