"Mage Workshop - %s - Discount Coupon for Reviewer","Mage Workshop - %s - Discount Coupon for Reviewer"
"Configure Coupon for %s","Configure Coupon for %s"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Generate Coupon for Customer","Generate Coupon for Customer"
"Coupon for Reviewer Email Sender","Coupon for Reviewer Email Sender"
"Coupon for Reviewer Email Template","Coupon for Reviewer Email Template"
"Coupon for Reviewer Email Blind Copy To","Coupon for Reviewer Email Blind Copy To"
"Discount Coupon will be generated and sent after review approve","Discount Coupon will be generated and sent after review approve"
"Coupon Code","Coupon Code"
"Configure Coupon for Product Reviewer","Configure Coupon for Product Reviewer"
"Configure Coupon for Company Reviewer","Configure Coupon for Company Reviewer"
