"Share via email","Share via email"
"Review Wall","Review Wall"
"Reviews on page","Reviews on page"
"Preview length","Preview length"
"Reviews Image Lazy Loading:","Reviews Image Lazy Loading:"
"Wall template","Wall template"
"Share Review By Email","Share Review By Email"
"Share Email Template","Share Email Template"
"Email Blind Copy To","Email Blind Copy To"
"Reviews with image","Reviews with image"
"Share Review By Email","Share Review By Email"
"Rated %s out of %s stars. Based on %s Reviews","Rated %s out of %s stars. Based on %s Reviews"
"Max recipients limit exceeded.","Max recipients limit exceeded."
"Maximum %s email addresses allowed.","Maximum %s email addresses allowed."
"It looks like Detailed Review extension is not enabled. Please enable it for correct work of Review Wall module","It looks like Detailed Review extension is not enabled. Please enable it for correct work of Review Wall module"
"All reviews were loaded","All reviews were loaded"
"Sorry, no reviews matched your criteria.","Sorry, no reviews matched your criteria."
"Mixed Reviews","Mixed Reviews"
"Review by","Review by"
"Customer Images","Customer Images"
"Simple Reviews Grid","Simple Reviews Grid"
"Images Grid (only reviews with images)","Images Grid (only reviews with images)"
"Advanced Reviews Grid (review images are displayed)","Advanced Reviews Grid (review images are displayed)"
"Filter By ","Filter By "
"Category","Category"
